workflow_id,workflow_name,function,recommendation,reason,risks,suggested_owner,next_step,decision_confidence
WF-001,Compile weekly metrics pack,Reporting,Run AI-assisted pilot,"The upside is meaningful, but the workflow needs validation before full automation.","Pilot outputs may vary until examples, guardrails, and approval rules are explicit.",Founder Office Lead,Run a two-week AI-assisted pilot with sampled outputs reviewed by a human.,0.76
WF-002,Clean CRM lifecycle stages,RevOps,Automate now,"The workflow has strong savings potential, frequent repetition, and manageable risk.",Monitor quality drift and keep a human approval checkpoint during rollout.,RevOps Generalist,Build a narrow automation for the highest-volume path and measure time saved.,0.86
WF-003,Draft post-demo follow-up emails,Sales,Hire,"This is strategic, judgment-heavy work that needs accountable ownership.","AI can assist with research and drafts, but final decisions need human context.",Founder or functional lead,Define the role scope and use AI only for preparation and analysis support.,0.72
WF-004,Summarize sales calls,Sales,Automate now,"The workflow has strong savings potential, frequent repetition, and manageable risk.",Monitor quality drift and keep a human approval checkpoint during rollout.,Account Executive,Build a narrow automation for the highest-volume path and measure time saved.,0.86
WF-005,Prepare investor update draft,Founder Admin,Keep manual for now,"The current ROI, risk, or frequency does not justify automation work yet.","Manual drag can grow if volume increases, so revisit when frequency or pain changes.",Founder,Track volume for one month and revisit if time spent or errors increase.,0.7
WF-006,Draft customer success check-ins,Customer Success,Hire,"This is strategic, judgment-heavy work that needs accountable ownership.","AI can assist with research and drafts, but final decisions need human context.",Founder or functional lead,Define the role scope and use AI only for preparation and analysis support.,0.72
WF-007,Onboard new customers,Customer Success,Run AI-assisted pilot,"The upside is meaningful, but the workflow needs validation before full automation.","Pilot outputs may vary until examples, guardrails, and approval rules are explicit.",Implementation Manager,Run a two-week AI-assisted pilot with sampled outputs reviewed by a human.,0.76
WF-008,Tag and route support tickets,Support,Automate now,"The workflow has strong savings potential, frequent repetition, and manageable risk.",Monitor quality drift and keep a human approval checkpoint during rollout.,Support Generalist,Build a narrow automation for the highest-volume path and measure time saved.,0.86
WF-009,Reconcile contractor invoices,Finance,Keep manual for now,"The current ROI, risk, or frequency does not justify automation work yet.","Manual drag can grow if volume increases, so revisit when frequency or pain changes.",Ops Manager,Track volume for one month and revisit if time spent or errors increase.,0.7
WF-010,Prepare candidate scorecards,Hiring,Keep manual for now,"The current ROI, risk, or frequency does not justify automation work yet.","Manual drag can grow if volume increases, so revisit when frequency or pain changes.",Founder,Track volume for one month and revisit if time spent or errors increase.,0.7
WF-011,Update project trackers,Operations,Outsource,The work is repetitive and not strategically important enough to own internally yet.,External quality may vary without a clear brief and acceptance checklist.,Founder Office or Ops,Create a short SOP and test one vendor or contractor before scaling.,0.68
WF-012,Generate founder weekly review notes,Reporting,Run AI-assisted pilot,"The upside is meaningful, but the workflow needs validation before full automation.","Pilot outputs may vary until examples, guardrails, and approval rules are explicit.",Founder Office Lead,Run a two-week AI-assisted pilot with sampled outputs reviewed by a human.,0.76
WF-013,Analyze churn reasons,Product Feedback,Keep manual for now,"The current ROI, risk, or frequency does not justify automation work yet.","Manual drag can grow if volume increases, so revisit when frequency or pain changes.",Customer Success Lead,Track volume for one month and revisit if time spent or errors increase.,0.7
WF-014,Route inbound leads,RevOps,Run AI-assisted pilot,"The upside is meaningful, but the workflow needs validation before full automation.","Pilot outputs may vary until examples, guardrails, and approval rules are explicit.",RevOps Generalist,Run a two-week AI-assisted pilot with sampled outputs reviewed by a human.,0.76
WF-015,Prepare meeting notes,Founder Admin,Run AI-assisted pilot,"The upside is meaningful, but the workflow needs validation before full automation.","Pilot outputs may vary until examples, guardrails, and approval rules are explicit.",Founder Office Associate,Run a two-week AI-assisted pilot with sampled outputs reviewed by a human.,0.76
WF-016,Build competitor briefs,Sales,Document process first,The workflow is not stable enough for reliable automation.,Automating an undefined process can create rework and inconsistent outputs.,Sales Lead,"Write the current steps, inputs, outputs, exceptions, and approval points.",0.78
WF-017,Prepare vendor renewal tracker,Operations,Keep manual for now,"The current ROI, risk, or frequency does not justify automation work yet.","Manual drag can grow if volume increases, so revisit when frequency or pain changes.",Ops Manager,Track volume for one month and revisit if time spent or errors increase.,0.7
WF-018,Create help center article drafts,Support,Keep manual for now,"The current ROI, risk, or frequency does not justify automation work yet.","Manual drag can grow if volume increases, so revisit when frequency or pain changes.",Support Lead,Track volume for one month and revisit if time spent or errors increase.,0.7
WF-019,Prepare monthly burn variance notes,Finance,Keep manual for now,"The current ROI, risk, or frequency does not justify automation work yet.","Manual drag can grow if volume increases, so revisit when frequency or pain changes.",Founder,Track volume for one month and revisit if time spent or errors increase.,0.7
WF-020,Summarize feature requests,Product Feedback,Hire,"This is strategic, judgment-heavy work that needs accountable ownership.","AI can assist with research and drafts, but final decisions need human context.",Founder or functional lead,Define the role scope and use AI only for preparation and analysis support.,0.72
