backlog_id,workflow_name,function,phase,owner,action,expected_outcome,due_timing,dependency,success_metric
AI-001,Summarize sales calls,Sales,Phase 1: quick wins,Account Executive,Build a deterministic automation or AI-assisted checklist for Summarize sales calls.,"The workflow has strong savings potential, frequent repetition, and manageable risk.",Next 7 days,Access to current workflow examples and owner approval,Save at least 7.6 hours per month without quality regression.
AI-002,Clean CRM lifecycle stages,RevOps,Phase 1: quick wins,RevOps Generalist,Build a deterministic automation or AI-assisted checklist for Clean CRM lifecycle stages.,"The workflow has strong savings potential, frequent repetition, and manageable risk.",Next 7 days,Access to current workflow examples and owner approval,Save at least 10.4 hours per month without quality regression.
AI-003,Tag and route support tickets,Support,Phase 1: quick wins,Support Generalist,Build a deterministic automation or AI-assisted checklist for Tag and route support tickets.,"The workflow has strong savings potential, frequent repetition, and manageable risk.",Next 7 days,Access to current workflow examples and owner approval,Save at least 6.5 hours per month without quality regression.
AI-004,Route inbound leads,RevOps,Phase 1: quick wins,RevOps Generalist,"Run a limited pilot using AI for drafts, summaries, or routing on Route inbound leads.","The upside is meaningful, but the workflow needs validation before full automation.",Next 7 days,Pilot success criteria and human review checklist,Save at least 3.9 hours per month without quality regression.
AI-005,Update project trackers,Operations,Phase 1: quick wins,Founder Office or Ops,Package Update project trackers into an SOP for a contractor or agency test.,The work is repetitive and not strategically important enough to own internally yet.,Next 7 days,"SOP, sample inputs, and acceptance criteria",Contractor completes work to checklist with lower founder time involvement.
AI-006,Prepare meeting notes,Founder Admin,Phase 1: quick wins,Founder Office Associate,Build a deterministic automation or AI-assisted checklist for Prepare meeting notes.,"The workflow has strong savings potential, frequent repetition, and manageable risk.",Next 7 days,Access to current workflow examples and owner approval,Save at least 6.5 hours per month without quality regression.
AI-007,Summarize feature requests,Product Feedback,Phase 4: hiring or outsourcing decisions,Founder or functional lead,Define ownership requirements and hiring criteria for Summarize feature requests.,"This is strategic, judgment-heavy work that needs accountable ownership.",Next planning cycle,Role scorecard and budget approval,Clear owner assigned and decision quality improves within one operating cycle.
AI-008,Compile weekly metrics pack,Reporting,Phase 2: AI-assisted pilots,Founder Office Lead,"Run a limited pilot using AI for drafts, summaries, or routing on Compile weekly metrics pack.","The upside is meaningful, but the workflow needs validation before full automation.",Next 14 to 30 days,Pilot success criteria and human review checklist,Save at least 10.8 hours per month without quality regression.
AI-009,Onboard new customers,Customer Success,Phase 2: AI-assisted pilots,Implementation Manager,"Run a limited pilot using AI for drafts, summaries, or routing on Onboard new customers.","The upside is meaningful, but the workflow needs validation before full automation.",Next 14 to 30 days,Pilot success criteria and human review checklist,Save at least 12.5 hours per month without quality regression.
AI-010,Draft customer success check-ins,Customer Success,Phase 4: hiring or outsourcing decisions,Founder or functional lead,Define ownership requirements and hiring criteria for Draft customer success check-ins.,"This is strategic, judgment-heavy work that needs accountable ownership.",Next planning cycle,Role scorecard and budget approval,Clear owner assigned and decision quality improves within one operating cycle.
