workflow_id,function,workflow_name,owner_role,current_tooling,workflow_description,frequency_per_month,avg_time_minutes_per_run,people_involved,error_rate_percent,monthly_volume,business_impact,customer_impact,data_sensitivity,process_variability,current_pain,current_cost_signal,automation_idea,requires_human_judgment,current_status
WF-001,Reporting,Compile weekly metrics pack,Founder Office Lead,"Google Sheets, HubSpot, Stripe","Pull revenue, pipeline, churn, support, and product metrics into a weekly operating snapshot.",4,180,2,8,4,5,3,medium,medium,high,high,"Automate data pulls and generate a draft weekly metrics pack.",no,partially_documented
WF-002,RevOps,Clean CRM lifecycle stages,RevOps Generalist,"HubSpot, Google Sheets","Find duplicate accounts, stale lifecycle stages, missing owners, and inconsistent source fields.",8,120,1,18,450,4,3,medium,low,high,high,"Create rules-based CRM cleanup checks and exception queues.",no,documented
WF-003,Sales,Draft post-demo follow-up emails,Account Executive,"Gmail, HubSpot, call notes","Write follow-up emails after sales demos using notes, pain points, next steps, and requested resources.",30,25,1,6,30,4,4,medium,medium,high,medium,"Generate first drafts from structured call notes and require AE approval.",yes,documented
WF-004,Sales,Summarize sales calls,Account Executive,"Zoom, Gong export, Notion","Summarize discovery and demo calls into pain points, objections, stakeholders, next steps, and CRM fields.",35,20,1,10,35,4,4,medium,low,high,medium,"Use a call summary template and AI-assisted extraction for CRM updates.",no,documented
WF-005,Founder Admin,Prepare investor update draft,Founder,"Google Docs, Google Sheets","Compile monthly investor update narrative, metrics, asks, risks, and progress from operating notes.",1,300,2,5,1,5,2,high,high,medium,medium,"Create a structured draft from approved metrics and founder notes.",yes,partially_documented
WF-006,Customer Success,Draft customer success check-ins,CS Lead,"Gmail, HubSpot, Notion","Prepare personalized check-in emails based on usage, open issues, renewal risk, and success goals.",24,30,1,7,24,4,5,medium,medium,high,medium,"Generate CS check-in drafts from account notes with human approval.",yes,documented
WF-007,Customer Success,Onboard new customers,Implementation Manager,"Notion, Slack, HubSpot","Coordinate kickoff tasks, customer assets, training steps, handoffs, and onboarding progress reminders.",10,150,2,12,10,5,5,medium,high,high,high,"Automate onboarding checklist creation and reminder routing.",yes,partially_documented
WF-008,Support,Tag and route support tickets,Support Generalist,"Intercom, Slack","Classify inbound tickets by topic, severity, account segment, and owner before routing.",120,5,1,15,120,3,5,medium,low,high,medium,"Use rules and AI-assisted classification with escalation guardrails.",no,documented
WF-009,Finance,Reconcile contractor invoices,Ops Manager,"Google Sheets, QuickBooks","Match contractor invoices against approved work logs, project budgets, and payment status.",12,40,1,4,12,3,2,high,medium,medium,medium,"Use a checklist and exception report before finance approval.",yes,documented
WF-010,Hiring,Prepare candidate scorecards,Founder,"Google Docs, Greenhouse export","Create interview scorecards from role criteria, interview notes, and evaluation rubrics.",8,60,2,6,8,4,3,high,high,medium,medium,"Draft scorecards from role rubric but keep hiring decisions human-owned.",yes,partially_documented
WF-011,Operations,Update project trackers,Ops Generalist,"Linear, Notion, Slack","Move weekly project status notes, blockers, owner updates, and deadlines into the operating tracker.",20,45,1,10,20,3,2,low,medium,high,medium,"Create a weekly tracker update workflow from Slack and Notion summaries.",no,partially_documented
WF-012,Reporting,Generate founder weekly review notes,Founder Office Lead,"Notion, Google Sheets","Prepare weekly review notes covering metrics, decisions, blockers, wins, and follow-up actions.",4,150,2,8,4,5,3,medium,medium,high,high,"Generate a first-pass weekly review memo from approved operating inputs.",yes,partially_documented
WF-013,Product Feedback,Analyze churn reasons,Customer Success Lead,"HubSpot, Notion, Slack","Read churn notes and categorize reasons by product gap, onboarding issue, pricing, competitor, or timing.",6,120,2,12,18,5,5,medium,high,high,high,"Cluster churn notes and produce a human-reviewed insights report.",yes,partially_documented
WF-014,RevOps,Route inbound leads,RevOps Generalist,"HubSpot, Clearbit, Slack","Score and assign inbound leads based on segment, geography, company size, and priority accounts.",90,4,1,9,90,4,4,low,low,medium,high,"Create deterministic lead routing rules with exception alerts.",no,documented
WF-015,Founder Admin,Prepare meeting notes,Founder Office Associate,"Google Calendar, Google Docs","Prepare agendas, context notes, prior action items, and follow-up shells for recurring meetings.",40,15,1,5,40,3,3,medium,low,medium,medium,"Generate meeting prep notes from calendar, prior notes, and task lists.",no,documented
WF-016,Sales,Build competitor briefs,Sales Lead,"Notion, website research","Create lightweight competitor briefs for active enterprise deals and objection handling.",6,120,1,8,6,4,3,low,high,medium,medium,"Use a structured research prompt and template for human-reviewed briefs.",yes,ad_hoc
WF-017,Operations,Prepare vendor renewal tracker,Ops Manager,"Google Sheets, email","Track upcoming vendor renewals, renewal dates, owners, contract values, and cancellation windows.",4,90,1,6,24,3,2,medium,low,medium,medium,"Automate renewal reminders and missing owner alerts.",no,documented
WF-018,Support,Create help center article drafts,Support Lead,"Intercom, Notion","Turn repeated support answers into help center article drafts and internal macros.",8,75,1,9,8,3,4,low,medium,medium,medium,"Draft articles from approved support replies and review before publishing.",yes,documented
WF-019,Finance,Prepare monthly burn variance notes,Founder,"Google Sheets, QuickBooks","Explain burn variance, runway movement, and budget exceptions for founder review.",1,180,2,5,1,5,2,high,high,medium,medium,"Create variance prompts from approved finance exports with founder approval.",yes,partially_documented
WF-020,Product Feedback,Summarize feature requests,Product Manager,"Intercom, HubSpot, Linear","Group feature requests by theme, customer segment, ARR exposure, and product area.",12,90,1,14,80,4,4,medium,medium,high,high,"Classify requests and generate a monthly product feedback digest.",yes,documented
